"rules","support","confidence","lift","count"
"{directly,ships} => {ship}",0.141176470588235,0.923076923076923,3.56643356643357,12
"{ships,effect} => {ship}",0.141176470588235,0.923076923076923,3.56643356643357,12
"{cutting,ships} => {ship}",0.141176470588235,0.923076923076923,3.56643356643357,12
"{ships} => {ship}",0.164705882352941,0.875,3.38068181818182,14
"{ships,surface} => {ship}",0.152941176470588,0.866666666666667,3.34848484848485,13
"{safety,ships} => {ship}",0.141176470588235,0.857142857142857,3.31168831168831,12
"{blast,ships} => {ship}",0.141176470588235,0.857142857142857,3.31168831168831,12
"{ships,landing} => {ship}",0.141176470588235,0.857142857142857,3.31168831168831,12
"{floating,surface} => {ship}",0.141176470588235,0.8,3.09090909090909,12
"{directly,floating} => {ship}",0.141176470588235,0.8,3.09090909090909,12
