"rules","support","confidence","lift","count"
"{atmosphere,public} => {train}",0.176470588235294,1,2.125,15
"{public,rows} => {train}",0.164705882352941,1,2.125,14
"{intense,yelling} => {train}",0.164705882352941,1,2.125,14
"{bench,drag} => {train}",0.188235294117647,0.941176470588235,2,16
"{hardly,noticed} => {train}",0.176470588235294,0.9375,1.9921875,15
"{intense,thousands} => {train}",0.164705882352941,0.933333333333333,1.98333333333333,14
"{files,visible} => {train}",0.164705882352941,0.933333333333333,1.98333333333333,14
"{familiar,slipping} => {train}",0.164705882352941,0.933333333333333,1.98333333333333,14
"{passengers,switch} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{liar,possibly} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{confusion,pavement} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{visible,offices} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{willing,ghost} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{sidewalk,workers} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{knowing,workers} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{lovely,particular} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{accept,national} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{national,visible} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{rows,smashing} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{common,alley} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{common,split} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{directions,professional} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{envelope,alley} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{intense,envelope} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{sheet,envelope} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{knocked,envelope} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{paces,envelope} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{conference,yesterday} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{possibly,respect} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{knocked,relieved} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
"{tension,mass} => {train}",0.152941176470588,0.928571428571429,1.97321428571429,13
