"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"board",1,2,4,0,1,0,9,0,4,1,0,6,2,1,0,1,7,0,4,12,0,0
"bodies",2,4,7,7,0,0,3,0,1,0,2,0,1,0,0,1,0,2,1,0,5,11
"bolt",3,0,2,3,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,0,1
"bolts",2,2,1,5,0,1,2,0,0,0,4,0,4,1,0,4,3,2,0,0,0,0
"booth",6,2,0,0,0,1,0,12,0,0,0,0,5,1,0,1,1,5,2,0,25,0
"boots",1,1,1,11,2,0,2,0,0,0,1,2,0,0,0,0,1,1,1,0,3,2
"bottle",1,5,0,0,1,2,1,0,0,0,2,0,0,6,1,0,0,0,2,1,4,0
"bounces",2,0,1,2,0,0,0,3,0,2,0,1,1,1,0,2,1,0,0,0,0,2
"brain",1,4,7,0,0,0,1,0,0,0,5,0,1,0,3,0,0,3,3,2,1,1
"breakfast",1,1,1,1,0,3,2,5,0,1,1,0,0,3,1,0,0,0,0,1,1,0
"breathe",1,1,1,0,1,0,2,0,1,3,0,0,0,0,0,0,2,0,2,3,0,2
"bridge",2,0,1,0,0,0,0,0,0,8,1,8,3,0,1,1,51,2,0,14,0,56
"brief",1,1,2,7,0,0,0,0,1,0,3,0,0,0,2,0,1,0,1,2,4,0
"brilliant",4,0,0,1,0,0,0,0,1,0,1,1,1,0,2,1,1,3,0,1,0,0
"bringing",1,1,3,1,0,0,0,0,1,2,1,2,3,1,0,0,0,1,3,1,5,0
"brings",5,5,2,12,0,1,2,6,2,0,2,0,4,0,0,0,3,1,1,2,10,1
"broke",1,1,0,0,1,3,0,0,0,0,0,0,3,0,0,1,3,0,1,1,1,0
"brother",1,0,9,0,0,0,38,1,2,0,7,1,0,0,0,0,0,0,19,4,5,8
"brothers",1,0,2,0,0,2,6,0,2,0,1,0,1,0,0,0,0,0,1,0,3,15
"brown",3,1,0,0,0,0,1,5,0,2,2,0,0,0,0,2,1,0,2,1,0,0
"brushes",2,2,1,2,0,1,0,0,0,0,1,0,1,0,0,2,1,1,1,0,1,0
"bucks",1,1,0,1,0,5,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,3
"buddy",1,0,0,0,2,1,3,7,2,0,2,1,1,0,0,0,0,0,1,0,0,0
"bullet",5,2,1,4,0,2,2,1,0,0,0,0,3,0,0,0,0,2,2,1,9,4
"bullets",5,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,1,7,27
"bumps",3,1,1,4,1,0,1,1,0,2,0,0,1,1,0,0,0,0,0,1,0,1
"burn",3,5,2,1,0,0,1,0,1,1,3,1,4,1,0,2,0,1,0,1,11,1
"burning",4,2,8,2,0,0,0,0,0,0,3,1,2,0,0,1,0,1,2,0,4,8
"burst",6,2,3,0,0,1,0,1,0,2,1,1,0,0,0,2,1,2,2,0,5,9
"bursts",5,4,4,2,0,3,0,2,2,0,2,2,0,0,1,4,3,1,3,0,2,0
"busy",2,0,0,4,1,1,0,2,4,1,7,0,1,2,0,0,1,4,4,2,1,4
"button",8,3,2,3,12,1,0,0,0,0,1,4,3,0,0,0,14,16,5,5,1,0
"buttons",1,0,1,3,1,1,0,1,0,3,0,2,1,0,0,0,13,1,0,1,0,0
"calls",4,4,1,10,0,2,1,6,3,0,3,6,4,0,1,1,0,6,3,0,0,7
"calm",1,3,2,1,0,3,1,0,0,2,2,3,0,0,2,5,1,2,4,0,3,1
"calmly",3,1,2,0,0,2,1,2,0,1,1,0,0,0,0,1,0,4,0,0,1,3
"card",6,12,3,0,3,0,1,1,0,4,3,0,1,0,1,0,0,11,8,0,13,0
"cards",6,2,0,1,1,0,0,1,0,2,2,0,0,0,0,3,0,2,1,0,4,1
"carefully",1,0,0,6,1,0,0,3,1,0,1,5,1,1,0,4,10,5,0,5,0,8
"carries",1,2,4,2,0,1,1,3,1,2,4,4,1,1,0,2,0,3,0,2,0,0
"carry",1,3,4,2,0,2,1,0,1,0,4,0,2,1,1,3,4,0,1,0,6,6
"cars",19,11,0,0,0,4,6,11,0,0,0,0,2,3,1,1,0,5,23,1,0,0
"catching",2,4,4,0,1,1,0,0,3,3,0,1,2,0,0,2,0,0,2,2,0,0
"causing",1,3,0,0,2,1,1,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0
"certainly",1,0,0,0,0,0,0,3,2,2,0,1,0,2,1,0,0,1,1,0,1,0
"chairs",2,3,0,0,7,1,0,0,0,0,2,0,2,2,0,0,2,3,0,0,0,1
"changes",1,0,1,1,0,2,1,0,0,1,0,2,0,1,0,3,7,3,5,0,3,0
"changing",1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,2,2,1,3,1,4,0
"charges",3,3,4,5,5,0,2,1,0,0,6,5,1,0,0,3,0,0,0,1,0,4
"charming",2,1,0,0,1,0,0,0,1,1,1,0,1,0,3,1,0,0,0,0,1,0
"chase",3,0,1,1,1,1,0,0,3,0,0,1,0,0,0,2,1,3,0,1,1,0
"checks",6,6,2,1,0,3,3,1,0,0,3,7,6,0,2,0,0,4,5,6,0,8
"cheek",1,3,2,2,1,1,2,0,0,0,3,0,0,0,0,2,2,2,0,0,1,1
